country_code,count,p(y=1),split
gb,127,0.07086614173228346,dev
ca,118,0.06779661016949153,dev
my,116,0.06896551724137931,dev
ke,114,0.11403508771929824,dev
us,114,0.08771929824561403,dev
ie,112,0.08928571428571429,dev
za,110,0.1,dev
pk,109,0.12844036697247707,dev
ng,108,0.1388888888888889,dev
ph,105,0.14285714285714285,dev
in,104,0.0673076923076923,dev
jm,104,0.09615384615384616,dev
bd,103,0.06796116504854369,dev
nz,101,0.1188118811881188,dev
au,98,0.05102040816326531,dev
sg,95,0.042105263157894736,dev
tz,94,0.11702127659574468,dev
hk,93,0.0967741935483871,dev
lk,85,0.10588235294117647,dev
gh,84,0.14285714285714285,dev
au,443,0.07223476297968397,train
ph,440,0.11818181818181818,train
sg,440,0.07727272727272727,train
gh,439,0.14350797266514806,train
za,439,0.1070615034168565,train
pk,436,0.08944954128440367,train
my,430,0.08139534883720931,train
ng,429,0.13286713286713286,train
us,429,0.07925407925407925,train
in,426,0.07511737089201878,train
ie,425,0.0988235294117647,train
ke,425,0.07529411764705882,train
lk,419,0.0954653937947494,train
nz,417,0.08393285371702638,train
gb,413,0.1162227602905569,train
ca,412,0.09223300970873786,train
bd,409,0.09046454767726161,train
hk,397,0.05037783375314862,train
jm,386,0.12176165803108809,train
tz,321,0.09345794392523364,train
