keyword,count,p(y=1),split
women,233,0.060085836909871244,dev
in-need,226,0.14601769911504425,dev
immigrant,218,0.03211009174311927,dev
hopeless,217,0.11981566820276497,dev
homeless,212,0.13679245283018868,dev
vulnerable,209,0.09569377990430622,dev
migrant,207,0.024154589371980676,dev
disabled,194,0.07216494845360824,dev
poor-families,190,0.2,dev
refugee,188,0.06914893617021277,dev
migrant,882,0.035147392290249435,train
refugee,880,0.08295454545454546,train
vulnerable,871,0.06888633754305395,train
homeless,865,0.1722543352601156,train
in-need,856,0.16705607476635514,train
immigrant,843,0.027283511269276393,train
women,837,0.04540023894862605,train
disabled,834,0.0803357314148681,train
hopeless,788,0.12436548223350254,train
poor-families,719,0.15577190542420027,train
