keyword,count,p(y=1),split
migrant,882,0.035147392290249435,train
migrant,207,0.024154589371980676,dev
refugee,880,0.08295454545454546,train
refugee,188,0.06914893617021277,dev
vulnerable,871,0.06888633754305395,train
vulnerable,209,0.09569377990430622,dev
homeless,865,0.1722543352601156,train
homeless,212,0.13679245283018868,dev
in-need,856,0.16705607476635514,train
in-need,226,0.14601769911504425,dev
immigrant,843,0.027283511269276393,train
immigrant,218,0.03211009174311927,dev
women,837,0.04540023894862605,train
women,233,0.060085836909871244,dev
disabled,834,0.0803357314148681,train
disabled,194,0.07216494845360824,dev
hopeless,788,0.12436548223350254,train
hopeless,217,0.11981566820276497,dev
poor-families,719,0.15577190542420027,train
poor-families,190,0.2,dev
